Metric,1-Day (Nov 2),1-Week (Nov 2-8),1-Month (Nov 2-30)
WAPE,0.3873,0.2225,0.2693
MASE,N/A,1.1606,1.0220
MAE,10.0690,3.8777,3.9469
Bias,-10.0690,-1.8292,0.8553
MSE,101.3838,28.9514,28.6449
RMSE,10.0690,5.3806,5.3521
MAPE,0.3873,0.2471,0.3402
SMAPE,0.4803,0.2354,0.2727
