Product_Name,Date_Only,Sales,XGB_Prediction
"Avo, Egg & Bacon",2025-11-12,3,1.5034586749970913
"Avo, Egg & Bacon",2025-11-13,2,1.9638596698641777
"Avo, Egg & Bacon",2025-11-14,5,1.7213214188814163
"Avo, Egg & Bacon",2025-11-15,6,1.9276294335722923
"Avo, Egg & Bacon",2025-11-16,5,1.834689736366272
"Avo, Egg & Bacon",2025-11-17,4,1.3076903223991394
"Avo, Egg & Bacon",2025-11-18,1,1.251289140433073
"Avo, Egg & Bacon",2025-11-19,0,1.228951646015048
"Avo, Egg & Bacon",2025-11-20,3,1.2775384075939655
"Avo, Egg & Bacon",2025-11-21,6,1.3315651416778564
"Avo, Egg & Bacon",2025-11-22,7,1.9436591565608978
"Avo, Egg & Bacon",2025-11-23,6,1.9489049166440964
"Avo, Egg & Bacon",2025-11-24,2,1.2053573727607727
"Avo, Egg & Bacon",2025-11-25,1,1.1369142308831215
"Avo, Egg & Bacon",2025-11-26,2,1.116971392184496
"Avo, Egg & Bacon",2025-11-27,3,1.2291761562228203
"Avo, Egg & Bacon",2025-11-28,3,1.2936231195926666
"Avo, Egg & Bacon",2025-11-29,5,1.841760940849781
"Avo, Egg & Bacon",2025-11-30,4,1.783671848475933
"Avo, Feta & Tom",2025-11-01,5,1.8810267969965935
"Avo, Feta & Tom",2025-11-02,2,1.9488411024212837
"Avo, Feta & Tom",2025-11-03,1,1.4685409218072891
"Avo, Feta & Tom",2025-11-04,1,1.1937949620187283
"Avo, Feta & Tom",2025-11-05,1,1.2337845787405968
"Avo, Feta & Tom",2025-11-06,2,1.321342557668686
"Avo, Feta & Tom",2025-11-07,4,1.4328246228396893
"Avo, Feta & Tom",2025-11-08,5,1.617159079760313
"Avo, Feta & Tom",2025-11-09,4,1.5364268831908703
"Avo, Feta & Tom",2025-11-10,7,1.0894430689513683
"Avo, Feta & Tom",2025-11-11,2,0.9623058028519154
"Avo, Feta & Tom",2025-11-12,2,0.9258102625608444
"Avo, Feta & Tom",2025-11-13,1,1.028863798826933
"Avo, Feta & Tom",2025-11-14,3,1.0791469551622868
"Avo, Feta & Tom",2025-11-15,3,1.3206766992807388
"Avo, Feta & Tom",2025-11-16,2,1.2705859057605267
"Avo, Feta & Tom",2025-11-17,1,0.8718387186527252
"Avo, Feta & Tom",2025-11-18,2,0.8338136933743954
"Avo, Feta & Tom",2025-11-19,0,0.7985587064176798
"Avo, Feta & Tom",2025-11-20,3,0.8348271548748016
"Avo, Feta & Tom",2025-11-21,1,0.9704269766807556
"Avo, Feta & Tom",2025-11-22,4,1.2559362798929214
"Avo, Feta & Tom",2025-11-23,0,1.2817508280277252
"Avo, Feta & Tom",2025-11-24,1,0.8619938753545284
"Avo, Feta & Tom",2025-11-25,2,0.8290225155651569
"Avo, Feta & Tom",2025-11-26,5,0.8349117077887058
"Avo, Feta & Tom",2025-11-27,1,0.9312788546085358
"Avo, Feta & Tom",2025-11-28,0,0.9721434004604816
"Avo, Feta & Tom",2025-11-29,2,1.2839812487363815
"Avo, Feta & Tom",2025-11-30,0,1.2672631554305553
Avocado on Toast,2025-11-01,3,2.828467480838299
Avocado on Toast,2025-11-02,3,2.943254977464676
Avocado on Toast,2025-11-03,1,2.52406095713377
Avocado on Toast,2025-11-04,2,2.359660804271698
Avocado on Toast,2025-11-05,4,2.4151967391371727
Avocado on Toast,2025-11-06,5,2.6598425284028053
Avocado on Toast,2025-11-07,1,2.8612236231565475
Avocado on Toast,2025-11-08,5,3.1983673125505447
Avocado on Toast,2025-11-09,3,3.0143029913306236
Avocado on Toast,2025-11-10,1,2.4929157495498657
Avocado on Toast,2025-11-11,3,2.374202072620392
Avocado on Toast,2025-11-12,1,2.2304567098617554
Avocado on Toast,2025-11-13,1,2.499952957034111
Avocado on Toast,2025-11-14,3,2.724313363432884
Avocado on Toast,2025-11-15,4,3.0898756459355354
Avocado on Toast,2025-11-16,1,3.017082206904888
Avocado on Toast,2025-11-17,0,2.3531524911522865
Avocado on Toast,2025-11-18,1,2.287257418036461
Avocado on Toast,2025-11-19,0,2.188355252146721
Avocado on Toast,2025-11-20,1,2.4918664693832397
Avocado on Toast,2025-11-21,2,2.4837289452552795
Avocado on Toast,2025-11-22,0,2.989322453737259
Avocado on Toast,2025-11-23,2,3.0663931742310524
Avocado on Toast,2025-11-24,1,2.496173121035099
