evaluation_horizon,product_name,model_type,WAPE,MAE,Bias
1-Week,Fried Egg,Prophet_Hourly_Clustered,0.3772,2.69,0.29
1-Week,Hash Brown,XGBoost_Improved_Hourly,0.2839,0.97,-0.7
1-Week,Ltle Bfast Bacon,XGBoost_Simple_Daily,0.8129,0.46,-0.18
1-Week,Ltle Bfast Saus,XGBoost_Simple_Hourly,0.7642,0.87,-0.6
1-Week,Mini Hash Browns,Prophet_Hourly_Clustered,0.4871,0.77,-0.04
1-Week,Multiseed Toast Bread,LSTM_Global_Hourly,0.6609,2.45,-1.51
1-Week,P.Eggs on Toast,Prophet_Daily_Clustered,0.321,1.74,0.84
1-Week,Poached Egg,XGBoost_Improved_Daily,0.4739,1.76,0.38
1-Week,Porridge,LSTM_Global_Daily,0.937,0.27,-0.19
1-Week,Posh Beans,XGBoost_Improved_Daily,0.4797,0.69,-0.17
1-Week,Roll & Butter ,ARIMA,0.2886,0.58,0.02
1-Week,S.Eggs on Toast,ARIMA,0.3926,1.68,-1.04
1-Week,Sausage,Prophet_Hourly_Clustered,0.3546,2.28,0.36
1-Week,Sausage Bap,XGBoost_Simple_Daily,0.3225,3.82,-3.0
1-Week,Scrambled Egg,LSTM_Global_Daily,0.5234,1.2,-0.72
1-Week,Sourdough Toast Bread,Prophet_Hourly_Clustered,0.6697,0.96,-0.53
1-Week,Streaky Bacon,Prophet_Daily_Clustered,0.9225,0.13,-0.1
1-Week,Tattie Scone,LSTM_Global_Daily,0.9011,2.06,-0.69
1-Week,The Breakfast,LSTM_Global_Daily,0.1742,5.57,-0.29
1-Week,Toasted Teacake,XGBoost_Simple_Daily,0.1356,1.45,-0.31
1-Week,Tuna JP,LSTM_Global_Hourly,0.6852,1.47,-0.99
1-Week,Tuna Toastie,Prophet_Daily_Clustered,0.3164,0.72,0.65
1-Week,Vegan Breakfast,Prophet_Daily_Clustered,0.712,0.51,-0.21
1-Week,Veggie Bap,LSTM_Global_Daily,1.1298,0.48,-0.15
1-Week,Veggie Breakfast,Prophet_Hourly_Clustered,0.5786,1.07,-0.26
1-Week,White Toast Bread,XGBoost_Simple_Hourly,0.1602,4.6,0.89
1-Month,"Avo, Egg & Bacon",Prophet_Hourly_Clustered,0.5072,1.73,-0.95
1-Month,"Avo, Feta & Tom",XGBoost_Simple_Daily,0.5844,1.25,-0.47
1-Month,Avocado on Toast,LSTM_Global_Daily,0.6,1.1,-0.51
1-Month,Bacon,LSTM_Global_Daily,0.3588,2.08,-1.09
1-Month,Bacon Bap,XGBoost_Improved_Hourly,0.2574,3.77,-0.02
1-Month,Bacon Egg Brioch,XGBoost_Improved_Daily,0.4963,1.03,0.07
1-Month,Bacon Waffle,XGBoost_Improved_Hourly,0.5454,1.52,0.19
1-Month,Baked Beans,Prophet_Daily_Clustered,0.386,2.04,-0.33
1-Month,Baked Beans JP,LSTM_Global_Daily,1.0472,0.14,-0.13
