Product,WAPE,MASE,MAE,Bias,RMSE
Ham Sand PnM,N/A,N/A,0.0000,0.0000,0.0000
Gingbread Syrup,N/A,N/A,0.0000,0.0000,0.0000
Kids Mini Pizza,N/A,N/A,0.0000,0.0000,0.0000
Kids Lentil Curl,N/A,N/A,0.0000,0.0000,0.0000
Kids Broccoli,N/A,N/A,0.0000,0.0000,0.0000
Kids Carrot Mash,N/A,N/A,0.0000,0.0000,0.0000
Hot Drinks,N/A,N/A,0.0000,0.0000,0.0000
Hot Cross Bun,N/A,N/A,0.0000,0.0000,0.0000
Ice Cream Sundae,N/A,N/A,0.0000,0.0000,0.0000
Ice Drinks,N/A,N/A,0.0000,0.0000,0.0000
Jams,N/A,N/A,0.0000,0.0000,0.0000
Italian Bagel,N/A,N/A,0.0000,0.0000,0.0000
Chick Chzo Tstie,N/A,N/A,0.0000,0.0000,0.0000
Cheese Scone,N/A,N/A,0.0000,0.0000,0.0000
Chick Rice Bowl,N/A,N/A,0.0000,0.0000,0.0000
Chicken Breast,N/A,N/A,0.0000,0.0000,0.0000
Chicken Burger,N/A,N/A,0.0000,0.0000,0.0000
Butter,N/A,N/A,0.0000,0.0000,0.0000
Chse Onion Tstie,N/A,N/A,0.0000,0.0000,0.0000
Chse Tom Toastie,N/A,N/A,0.0000,0.0000,0.0000
Cinnamon Dusting,N/A,N/A,0.0000,0.0000,0.0000
Clotted Cream,N/A,N/A,0.0000,0.0000,0.0000
Chickn Rice Bowl,N/A,N/A,0.0000,0.0000,0.0000
Chips,N/A,N/A,0.0000,0.0000,0.0000
Chorizo,N/A,N/A,0.0000,0.0000,0.0000
Chorizo & Eggs,N/A,N/A,0.0000,0.0000,0.0000
Coconut Kefir,N/A,N/A,0.0000,0.0000,0.0000
Coleslaw,N/A,N/A,0.0000,0.0000,0.0000
Cream,N/A,N/A,0.0000,0.0000,0.0000
Banana Bread,N/A,N/A,0.0000,0.0000,0.0000
BLT,N/A,N/A,0.0000,0.0000,0.0000
BD Curry Roll,N/A,N/A,0.0000,0.0000,0.0000
Almd & Aprct Bar,N/A,N/A,0.0000,0.0000,0.0000
Apl & Blk Smthie,N/A,N/A,0.0000,0.0000,0.0000
Yog Granola Bowl,N/A,N/A,0.0000,0.0000,0.0000
York Pud Wrap,N/A,N/A,0.0000,0.0000,0.0000
Yog Bowl Bluebry,N/A,N/A,0.0000,0.0000,0.0000
Vegan Flapjack,N/A,N/A,0.0000,0.0000,0.0000
Shakshuka Eggs,N/A,N/A,0.0000,0.0000,0.0000
Steak Pie,N/A,N/A,0.0000,0.0000,0.0000
Spinach,N/A,N/A,0.0000,0.0000,0.0000
Kids Sausage,N/A,N/A,0.0000,0.0000,0.0000
Kids Eat Free,N/A,N/A,0.0000,0.0000,0.0000
Kids Drinks,N/A,N/A,0.0000,0.0000,0.0000
Kids Crumpets,N/A,N/A,0.0000,0.0000,0.0000
Kids Chips,N/A,N/A,0.0000,0.0000,0.0000
Kids Mash,N/A,N/A,0.0000,0.0000,0.0000
Kids Mac Cheese,N/A,N/A,0.0000,0.0000,0.0000
Kids Peas,N/A,N/A,0.0000,0.0000,0.0000
Kids Popcorn,N/A,N/A,0.0000,0.0000,0.0000
Kids Banana,N/A,N/A,0.0000,0.0000,0.0000
Kid Chick Strips,N/A,N/A,0.0000,0.0000,0.0000
Katsu Rice Bowl,N/A,N/A,0.0000,0.0000,0.0000
Katsu Wrap,N/A,N/A,0.0000,0.0000,0.0000
Jacket Potato,N/A,N/A,0.0000,0.0000,0.0000
Italian Foccacia,N/A,N/A,0.0000,0.0000,0.0000
Mozz Toastie,N/A,N/A,0.0000,0.0000,0.0000
Kids Sweet Potat,N/A,N/A,0.0000,0.0000,0.0000
Mushroom,N/A,N/A,0.0000,0.0000,0.0000
Mushroom Crois,N/A,N/A,0.0000,0.0000,0.0000
