Date,Event Name,Importance
08 March 2025,Aberdeen Restaurant Week,2
09 March 2025,Aberdeen Restaurant Week,2
13 March 2025,Aberdeen Jazz Festival,2
14 March 2025,Aberdeen Jazz Festival,2
15 March 2025,Aberdeen Jazz Festival,2
16 March 2025,Aberdeen Jazz Festival,2
17 March 2025,Aberdeen Jazz Festival,2
18 March 2025,Aberdeen Jazz Festival,2
19 March 2025,Aberdeen Jazz Festival,2
20 March 2025,Aberdeen Jazz Festival,2
21 March 2025,Aberdeen Jazz Festival,2
22 March 2025,Aberdeen Jazz Festival,2
23 March 2025,Aberdeen Jazz Festival,2
01 June 2025,Light the Blue (Youth Arts),1
02 June 2025,Light the Blue (Youth Arts),1
03 June 2025,Light the Blue (Youth Arts),1
04 June 2025,Light the Blue (Youth Arts),1
05 June 2025,Light the Blue (Youth Arts),1
06 June 2025,Light the Blue (Youth Arts),1
07 June 2025,Light the Blue (Youth Arts),1
08 June 2025,Light the Blue (Youth Arts),1
09 June 2025,Light the Blue (Youth Arts),1
10 June 2025,Light the Blue (Youth Arts),1
11 June 2025,Light the Blue (Youth Arts),1
12 June 2025,Light the Blue (Youth Arts),1
13 June 2025,Light the Blue (Youth Arts),1
14 June 2025,Light the Blue (Youth Arts),1
15 June 2025,Light the Blue (Youth Arts),1
05 July 2025,Aberdeen Highland Games,2
19 July 2025,Tall Ships Races Aberdeen,3
20 July 2025,Tall Ships Races Aberdeen,3
21 July 2025,Tall Ships Races Aberdeen,3
22 July 2025,Tall Ships Races Aberdeen,3
07 September 2025,Aberdeen Mela - One World Day,1
22 September 2025,Aberdeen Comedy Festival,2
23 September 2025,Aberdeen Comedy Festival,2
24 September 2025,Aberdeen Comedy Festival,2
25 September 2025,Aberdeen Comedy Festival,2
26 September 2025,Aberdeen Comedy Festival,2
27 September 2025,Aberdeen Comedy Festival,2
28 September 2025,Aberdeen Comedy Festival,2
29 September 2025,Aberdeen Comedy Festival,2
30 September 2025,Aberdeen Comedy Festival,2
01 October 2025,Aberdeen Comedy Festival,2
02 October 2025,Aberdeen Comedy Festival,2
03 October 2025,Aberdeen Comedy Festival,2
04 October 2025,Aberdeen Comedy Festival,2
05 October 2025,Aberdeen Comedy Festival,2
